Player
playerid,name,position,born,height,weight,yearspro,team
485,Steven Hunter,Forward,1981-10-31,7-0/2,13,240 lbs./108,9 kg.,6,DEN
486,Andre Iguodala,Forward - Guard,1984-1-28,6-6/1,98,207 lbs./93,9  kg.,3,PHI
487,Zydrunas Ilgauskas,Center,1975-6-5,7-3/2,21,260 lbs./117,9 kg.,9,CLE
488,Allen Iverson,Guard,1975-6-7,6-0/1,83,165 lbs./74,8  kg.,11,DEN
489,Royal Ivey,Guard,1981-12-20,6-4/1,93,215 lbs./97,5  kg.,3,MIL
490,Jarrett Jack,Guard,1983-10-28,6-3/1,91,197 lbs./89,4  kg.,2,POR
491,Bobby Jackson,Guard,1973-3-13,6-1/1,85,185 lbs./83,9  kg.,10,NOH
492,Casey Jacobsen,Guard - Forward,1981-3-19,6-6/1,98,215 lbs./97,5  kg.,3,MEM
493,LeBron James,Forward,1984-12-30,6-8/2,03,250 lbs./113,4 kg.,4,CLE
494,Mike James,Guard,1975-6-23,6-2/1,88,188 lbs./85,3  kg.,6,HOU
495,Antawn Jamison,Forward,1976-6-12,6-9/2,06,235 lbs./106,6 kg.,9,WAS
496,Marko Jaric,Guard,1978-10-12,6-7/2,01,224 lbs./101,6 kg.,5,MIN
497,Al Jefferson,Forward - Center,1985-1-4,6-1/ 2,08,265 lbs./120,2 kg.,3,MIN
498,Richard Jefferson,Forward,1980-6-21,6-7/2,01,225 lbs./102,1 kg.,6,NJN
499,Alexander Johnson,Forward,1983-2-8,6-9/2,06,230 lbs./104,3 kg.,1,MIA
500,Amir Johnson,Forward,1987-5-1,6-9/2,06,210 lbs./95,3  kg.,2,DET
501,Anthony Johnson,Guard,1974-10-2,6-3/1,91,195 lbs./88,5  kg.,10,ATL
502,Joe Johnson,Guard - Forward,1981-6-29,6-7/2,01,235 lbs./106,6 kg.,6,ATL
503,Bobby Jones,Forward,1984-1-9,6-7/2,01,215 lbs./97,5  kg.,1,DEN
504,Damon Jones,Guard,1976-8-25,6-3/1,91,195 lbs./88,5  kg.,9,CLE
505,Dwayne Jones,Forward - Center,1983-6-9,6-1/ 2,11,251 lbs./113,9 kg.,2,CLE
506,Eddie Jones,Guard - Forward,1971-10-20,6-6/1,98,200 lbs./90,7  kg.,13,DAL
507,Fred Jones,Guard,1979-3-11,6-2/1,88,225 lbs./102,1 kg.,5,NYK
508,James Jones,Forward,1980-10-4,6-8/2,03,220 lbs./99,8  kg.,4,POR
509,Chris Kaman,Center,1982-4-28,7-0/2,13,265 lbs./120,2 kg.,4,LAC
510,Jason Kapono,Forward,1981-2-4,6-8/2,03,215 lbs./97,5  kg.,4,TOR
511,Coby Karl,Guard,1983-3-6,6-5/1,96,215 lbs./97,5  kg.,0,LAL
512,Jason Kidd,Guard,1973-3-23,6-4/1,93,210 lbs./95,3  kg.,13,NJN
513,Andrei Kirilenko,Forward,1981-2-18,6-9/2,06,223 lbs./101,2 kg.,6,UTA
514,Linas Kleiza,Forward,1985-1-3,6-8/2,03,245 lbs./111,1 kg.,2,DEN
515,Brevin Knight,Guard,1975-11-8,5-1/ 1,78,170 lbs./77,1  kg.,10,LAC
516,Kyle Korver,Forward,1981-3-17,6-6/1,98,211 lbs./95,7  kg.,4,PHI
517,Nenad Krstic,Forward - Center,1983-7-25,7-0/2,13,240 lbs./108,9 kg.,3,NJN
518,Raef LaFrentz,Forward,1976-5-29,6-1/ 2,11,245 lbs./111,1 kg.,9,POR
519,Acie Law,Guard,1985-1-25,6-3/1,91,195 lbs./88,5  kg.,0,ATL
520,David Lee,Forward,1983-4-29,6-9/2,06,240 lbs./108,9 kg.,2,NYK
521,Rashard Lewis,Forward,1979-8-8,6-1/ 2,08,230 lbs./104,3 kg.,9,ORL
522,Kyle Lowry,Guard,1986-3-25,6-0/1,83,175 lbs./79,4  kg.,1,MEM
523,Tyronn Lue,Guard,1977-5-3,6-0/1,83,175 lbs./79,4  kg.,9,ATL
524,Corey Maggette,Forward,1979-11-12,6-6/1,98,225 lbs./102,1 kg.,8,LAC
525,Jamaal Magloire,Center,1978-5-21,6-1/ 2,11,265 lbs./120,2 kg.,7,NJN
526,Ian Mahinmi,Center,1986-11-5,6-1/ 2,11,230 lbs./104,3 kg.,0,SAS
527,Stephon Marbury,Guard,1977-2-20,6-2/1,88,205 lbs./93,0  kg.,11,NYK
528,Shawn Marion,Forward,1978-5-7,6-7/2,01,230 lbs./104,3 kg.,8,PHX
529,Donyell Marshall,Forward,1973-5-18,6-9/2,06,245 lbs./111,1 kg.,13,CLE
530,Kenyon Martin,Forward,1977-12-30,6-9/2,06,240 lbs./108,9 kg.,7,DEN
531,Kevin Martin,Guard,1983-2-1,6-7/2,01,185 lbs./83,9  kg.,3,SAC
532,Desmond Mason,Forward - Guard,1977-10-11,6-5/1,96,222 lbs./100,7 kg.,7,MIL
533,Roger Mason,Guard,1980-9-10,6-5/1,96,212 lbs./96,2  kg.,3,WAS
534,Jason Maxiell,Forward,1983-2-18,6-7/2,01,260 lbs./117,9 kg.,2,DET
535,Rashad McCants,Guard,1984-9-25,6-4/1,93,210 lbs./95,3  kg.,2,MIN
536,Antonio McDyess,Forward,1974-9-7,6-9/2,06,245 lbs./111,1 kg.,11,DET
537,Tracy McGrady,Guard - Forward,1979-5-24,6-8/2,03,223 lbs./101,2 kg.,10,HOU
538,Dominic McGuire,Forward,1985-10-20,6-9/2,06,220 lbs./99,8  kg.,0,WAS
539,Jeff McInnis,Guard,1974-10-22,6-4/1,93,190 lbs./86,2  kg.,10,CHA
540,Chris Mihm,Center,1979-7-16,7-0/2,13,265 lbs./120,2 kg.,6,LAL
541,C.J. Miles,Guard,1987-3-18,6-6/1,98,220 lbs./99,8  kg.,2,UTA
542,Darko Milicic,Center - Forward,1985-6-20,7-0/2,13,275 lbs./124,7 kg.,4,MEM
543,Andre Miller,Guard,1976-3-19,6-2/1,88,200 lbs./90,7  kg.,8,PHI
544,Brad Miller,Center,1976-4-12,7-0/2,13,261 lbs./118,4 kg.,9,SAC
545,Mike Miller,Guard - Forward,1980-2-19,6-8/2,03,218 lbs./98,9  kg.,7,MEM
546,Paul Millsap,Forward,1985-2-10,6-8/2,03,258 lbs./117,0 kg.,1,UTA
547,Cuttino Mobley,Guard,1975-9-1,6-4/1,93,215 lbs./97,5  kg.,9,LAC
548,Nazr Mohammed,Center,1977-9-5,6-1/ 2,08,250 lbs./113,4 kg.,9,DET
549,Mikki Moore,Forward - Center,1975-11-4,7-0/2,13,225 lbs./102,1 kg.,9,SAC
550,Alonzo Mourning,Center,1970-2-8,6-1/ 2,08,261 lbs./118,4 kg.,14,MIA
551,Ronald Murray,Guard,1979-7-29,6-3/1,91,197 lbs./89,4  kg.,5,DET
552,Dikembe Mutombo,Center,1966-6-25,7-2/2,18,260 lbs./117,9 kg.,16,HOU
553,Bostjan Nachbar,Forward,1980-7-3,6-9/2,06,221 lbs./100,2 kg.,5,NJN
554,Eduardo Najera,Forward,1976-7-11,6-8/2,03,235 lbs./106,6 kg.,7,DEN
555,Steve Nash,Guard,1974-2-7,6-3/1,91,178 lbs./80,7  kg.,11,PHX
556,Juan Carlos Navarro,Guard,1980-6-13,6-3/1,91,170 lbs./77,1  kg.,0,MEM
557,Jameer Nelson,Guard,1982-2-9,6-0/1,83,190 lbs./86,2  kg.,3,ORL
558,Rasho Nesterovic,Center,1976-5-30,7-0/2,13,255 lbs./115,7 kg.,9,TOR
